Year,Anomaly
194811,-5.86
194812,-2.43
194901,-1.7
194902,2.85
194903,2.13
194904,-4.91
194905,-3.29
194906,-1.05
194907,-1.12
194908,0.05
194909,-1.92
194910,-2.48
194911,1.66
194912,2.48
195001,5.65
195002,-1.48
195003,-0.6
195004,-1.3
195005,-3.02
195006,-2.52
195007,0.33
195008,0.28
195009,0.27
195010,1.3
195011,3
195012,-0.67
195101,-3.76
195102,2.25
195103,-2.06
195104,-2.9
195105,-1.91
195106,-0.72
195107,-1.02
195108,0.13
195109,-1.45
195110,0.43
195111,-4.87
195112,-1.18
195201,-0.33
195202,-3.13
195203,-0.83
195204,-2.25
195205,-0.45
195206,0.08
195207,-0.82
195208,-3.13
195209,-5.11
195210,-3.49
195211,-0.59
195212,2.77
195301,-4.24
195302,-1.45
195303,-8.81
195304,-1.91
195305,1.39
195306,0.35
195307,-2.18
195308,-0.62
195309,-3.08
195310,1.38
195311,7.08
195312,4.88
195401,0.86
195402,0.2
195403,-9.57
195404,-5.6
195405,-1.67
195406,-0.07
195407,-2.02
195408,-1.29
195409,-1.67
195410,1.59
195411,3.03
195412,3.12
195501,-2.14
195502,2.1
195503,2.8
195504,1.2
195505,-4.18
195506,-1.42
195507,-3.15
195508,-0.21
195509,1.05
195510,-3.04
195511,-5.94
195512,-6.86
195601,0.71
195602,3.97
195603,-4.02
195604,-2.35
195605,-6.83
195606,-3.73
195607,-2.37
195608,-1.74
195609,-4.56
195610,-3.97
195611,2.86
195612,9.24
195701,-2.01
195702,-0.21
195703,4.19
195704,-2.52
195705,-2.09
195706,-0.26
195707,-0.24
195708,-1.21
195709,-3.41
195710,2.82
195711,0.96
195712,-4.15
195801,3.05
195802,0.13
195803,-0.75
195804,-2.36
195805,-1.36
195806,-0.21
195807,0.06
195808,-0.43
195809,-1.75
195810,-3.5
195811,-2.65
195812,-0.08
195901,-7.39
195902,-3.81
195903,-2.5
195904,-0.1
195905,0.09
195906,-0.04
195907,-0.96
195908,-1.91
195909,-2.13
195910,2.99
195911,1.62
195912,1.84
196001,4.74
196002,-3.2
196003,0.64
196004,-0.56
196005,1.55
196006,0.09
196007,-0.66
196008,-0.66
196009,-0.04
196010,-1.77
196011,-5.88
196012,-5.42
196101,-0.33
196102,-0.37
196103,1.21
196104,-0.07
196105,-5.07
196106,-1.89
196107,-2.59
196108,-1.21
196109,-2.15
196110,1.11
196111,-0.7
196112,-3.84
196201,-2.85
196202,-3.06
196203,-1.9
196204,-6.62
196205,-7.02
196206,0.14
196207,-1.63
196208,-1.72
196209,-3.44
196210,-2.66
196211,0.98
196212,-2.6
196301,-6.37
196302,-11.98
196303,-3.86
196304,-3.75
196305,-3.85
196306,-1.04
196307,-2.16
196308,-0.51
196309,-3.18
196310,-2.33
196311,-5.21
196312,-3.08
196401,-3.54
196402,-2.43
196403,0.88
196404,-1.82
196405,-2.95
196406,-1.12
196407,-1.18
196408,0.68
196409,-0.94
196410,-5.27
196411,-2.34
196412,0.86
196501,-1.58
196502,3.97
196503,-2.78
196504,-0.34
196505,-0.49
196506,-0.94
196507,-2.79
196508,-0.29
196509,-0.25
196510,0.1
196511,1.31
196512,-1.76
196601,-9.39
196602,-0.6
196603,-4.59
196604,-2.1
196605,-3.7
196606,0.03
196607,-0.51
196608,-1.94
196609,-1.89
196610,-10.01
196611,-8.98
196612,2.43
196701,-6.06
196702,-5.3
196703,-3.17
196704,-1.16
196705,-0.1
196706,-0.1
196707,-0.99
196708,-1.34
196709,-1.08
196710,-2.35
196711,-4.96
196712,-2.45
196801,-5.39
196802,-6.31
196803,-7.91
196804,-3.66
196805,-3.68
196806,-0.39
196807,-1.45
196808,-1.74
196809,-4.93
196810,-8.62
196811,-10.22
196812,-6.24
196901,-3.24
196902,-1.84
196903,-4.04
196904,-8.35
196905,-3.28
196906,-1.68
196907,0.57
196908,0.95
196909,-1.16
196910,2.97
196911,-2.06
196912,-2.15
197001,0.9
197002,-5.94
197003,-0.09
197004,-5.87
197005,-1.35
197006,-0.19
197007,-1.7
197008,-0.61
197009,-0.33
197010,0.12
197011,-5.52
197012,-4.66
197101,-7.09
197102,3.78
197103,-3.61
197104,0.07
197105,-1.76
197106,-1.64
197107,-0.32
197108,-0.97
197109,-0.55
197110,-3.34
197111,-9.54
197112,-3.2
197201,3.79
197202,-4.19
197203,2.62
197204,-7.53
197205,-5.25
197206,-1.29
197207,-1.35
197208,0.07
197209,-0.72
197210,-1.11
197211,5.02
197212,-0.3
197301,2.53
197302,-7.08
197303,-0.31
197304,0.3
197305,-3.04
197306,0.04
197307,-1.44
197308,-0.8
197309,-2.39
197310,-6.12
197311,-7.17
197312,-3.68
197401,5.21
197402,3.23
197403,0.3
197404,-2.44
197405,-2.54
197406,-3.07
197407,-1.81
197408,-0.1
197409,-3.43
197410,-0.69
197411,0.02
197412,5.42
197501,-2.78
197502,-0.91
197503,-5.54
197504,-1.2
197505,-4.44
197506,-2.1
197507,-0.54
197508,-0.38
197509,-3.53
197510,-6.04
197511,-2.84
197512,-2.98
197601,1.42
197602,4.35
197603,7
197604,-2.86
197605,-3.47
197606,2.05
197607,-0.03
197608,0.6
197609,-2.84
197610,-2.32
197611,-8.1
197612,0.29
197701,2.99
197702,-2.23
197703,-5.43
197704,-5.65
197705,-1.82
197706,-4.25
197707,-1.99
197708,-1.45
197709,-4.8
197710,-0.84
197711,-3.93
197712,-0.78
197801,-6.45
197802,-2.03
197803,-2.68
197804,-1.51
197805,0.68
197806,-1.58
197807,-2.48
197808,0.76
197809,-1.19
197810,0.04
197811,-2.3
197812,-2.6
197901,-5.98
197902,-7.37
197903,-2.01
197904,-4.16
197905,-3.91
197906,0.35
197907,3.01
197908,1.3
197909,0.09
197910,2.34
197911,0.57
197912,-0.96
198001,0.26
198002,-1.26
198003,0.68
198004,-0.55
198005,-0.32
198006,-0.45
198007,1.23
198008,0.25
198009,-1.09
198010,-4.5
198011,-8.32
198012,-2.39
198101,-10.51
198102,-4.12
198103,-4.18
198104,-3.1
198105,0.03
198106,1.57
198107,1.89
198108,0.34
198109,-0.15
198110,1.09
198111,-0.61
198112,-7.21
198201,-3.28
198202,-3.69
198203,2.45
198204,-2.32
198205,-2.24
198206,-1.03
198207,-1.25
198208,-1.07
198209,-4.98
198210,0.7
198211,-1.04
198212,-2.19
198301,0.64
198302,-3.02
198303,4.33
198304,-6
198305,-1.45
